Epoch 111/500, Train Loss: 0.7891, Train Particles Loss: 0.9014, Train Jets Loss: 0.5187, Val Loss: 0.8157, Val Particles Loss: 0.9155, Val Jets Loss: 0.5410, LR: 0.000250
Epoch 112/500, Train Loss: 0.7889, Train Particles Loss: 0.9010, Train Jets Loss: 0.5186, Val Loss: 0.8167, Val Particles Loss: 0.9155, Val Jets Loss: 0.5421, LR: 0.000250
Epoch 113/500, Train Loss: 0.7885, Train Particles Loss: 0.9012, Train Jets Loss: 0.5181, Val Loss: 0.8172, Val Particles Loss: 0.9171, Val Jets Loss: 0.5421, LR: 0.000250
Epoch 114/500, Train Loss: 0.7883, Train Particles Loss: 0.9008, Train Jets Loss: 0.5181, Val Loss: 0.8179, Val Particles Loss: 0.9186, Val Jets Loss: 0.5424, LR: 0.000250
Epoch 115/500, Train Loss: 0.7874, Train Particles Loss: 0.9003, Train Jets Loss: 0.5173, Val Loss: 0.8175, Val Particles Loss: 0.9162, Val Jets Loss: 0.5426, LR: 0.000250
Epoch 116/500, Train Loss: 0.7868, Train Particles Loss: 0.8999, Train Jets Loss: 0.5168, Val Loss: 0.8146, Val Particles Loss: 0.9154, Val Jets Loss: 0.5400, LR: 0.000250
Epoch 117/500, Train Loss: 0.7866, Train Particles Loss: 0.8999, Train Jets Loss: 0.5166, Val Loss: 0.8171, Val Particles Loss: 0.9173, Val Jets Loss: 0.5419, LR: 0.000250
Epoch 118/500, Train Loss: 0.7865, Train Particles Loss: 0.8997, Train Jets Loss: 0.5166, Val Loss: 0.8137, Val Particles Loss: 0.9146, Val Jets Loss: 0.5393, LR: 0.000250
Epoch 119/500, Train Loss: 0.7859, Train Particles Loss: 0.8989, Train Jets Loss: 0.5162, Val Loss: 0.8133, Val Particles Loss: 0.9129, Val Jets Loss: 0.5394, LR: 0.000250
Epoch 120/500, Train Loss: 0.7852, Train Particles Loss: 0.8990, Train Jets Loss: 0.5155, Val Loss: 0.8136, Val Particles Loss: 0.9147, Val Jets Loss: 0.5392, LR: 0.000250
Epoch 121/500, Train Loss: 0.7846, Train Particles Loss: 0.8985, Train Jets Loss: 0.5150, Val Loss: 0.8153, Val Particles Loss: 0.9152, Val Jets Loss: 0.5407, LR: 0.000250
Epoch 122/500, Train Loss: 0.7846, Train Particles Loss: 0.8983, Train Jets Loss: 0.5151, Val Loss: 0.8128, Val Particles Loss: 0.9121, Val Jets Loss: 0.5391, LR: 0.000250
Epoch 123/500, Train Loss: 0.7841, Train Particles Loss: 0.8980, Train Jets Loss: 0.5147, Val Loss: 0.8151, Val Particles Loss: 0.9159, Val Jets Loss: 0.5403, LR: 0.000250
Epoch 124/500, Train Loss: 0.7847, Train Particles Loss: 0.8985, Train Jets Loss: 0.5151, Val Loss: 0.8146, Val Particles Loss: 0.9138, Val Jets Loss: 0.5404, LR: 0.000250
Epoch 125/500, Train Loss: 0.7831, Train Particles Loss: 0.8977, Train Jets Loss: 0.5138, Val Loss: 0.8134, Val Particles Loss: 0.9147, Val Jets Loss: 0.5390, LR: 0.000250
Epoch 126/500, Train Loss: 0.7831, Train Particles Loss: 0.8972, Train Jets Loss: 0.5139, Val Loss: 0.8112, Val Particles Loss: 0.9112, Val Jets Loss: 0.5378, LR: 0.000250
Epoch 127/500, Train Loss: 0.7825, Train Particles Loss: 0.8965, Train Jets Loss: 0.5135, Val Loss: 0.8115, Val Particles Loss: 0.9117, Val Jets Loss: 0.5379, LR: 0.000250
Epoch 128/500, Train Loss: 0.7828, Train Particles Loss: 0.8971, Train Jets Loss: 0.5137, Val Loss: 0.8094, Val Particles Loss: 0.9107, Val Jets Loss: 0.5362, LR: 0.000250
Epoch 129/500, Train Loss: 0.7818, Train Particles Loss: 0.8963, Train Jets Loss: 0.5129, Val Loss: 0.8119, Val Particles Loss: 0.9141, Val Jets Loss: 0.5376, LR: 0.000250
Epoch 130/500, Train Loss: 0.7821, Train Particles Loss: 0.8966, Train Jets Loss: 0.5131, Val Loss: 0.8115, Val Particles Loss: 0.9127, Val Jets Loss: 0.5377, LR: 0.000250
Epoch 131/500, Train Loss: 0.7811, Train Particles Loss: 0.8955, Train Jets Loss: 0.5125, Val Loss: 0.8109, Val Particles Loss: 0.9122, Val Jets Loss: 0.5372, LR: 0.000250
Epoch 132/500, Train Loss: 0.7810, Train Particles Loss: 0.8962, Train Jets Loss: 0.5122, Val Loss: 0.8113, Val Particles Loss: 0.9106, Val Jets Loss: 0.5381, LR: 0.000250
Epoch 133/500, Train Loss: 0.7805, Train Particles Loss: 0.8957, Train Jets Loss: 0.5118, Val Loss: 0.8093, Val Particles Loss: 0.9111, Val Jets Loss: 0.5360, LR: 0.000250
Epoch 134/500, Train Loss: 0.7802, Train Particles Loss: 0.8958, Train Jets Loss: 0.5115, Val Loss: 0.8115, Val Particles Loss: 0.9142, Val Jets Loss: 0.5372, LR: 0.000250
Epoch 135/500, Train Loss: 0.7799, Train Particles Loss: 0.8957, Train Jets Loss: 0.5112, Val Loss: 0.8072, Val Particles Loss: 0.9088, Val Jets Loss: 0.5346, LR: 0.000250
Epoch 136/500, Train Loss: 0.7796, Train Particles Loss: 0.8954, Train Jets Loss: 0.5110, Val Loss: 0.8084, Val Particles Loss: 0.9111, Val Jets Loss: 0.5351, LR: 0.000250
Epoch 137/500, Train Loss: 0.7788, Train Particles Loss: 0.8948, Train Jets Loss: 0.5104, Val Loss: 0.8110, Val Particles Loss: 0.9133, Val Jets Loss: 0.5370, LR: 0.000250
